,week-year,state,new_case
0,00-2021,AK,759
1,00-2021,AL,6118
2,00-2021,AR,6304
3,00-2021,AS,0
4,00-2021,AZ,18949
5,00-2021,CA,114357
6,00-2021,CO,4729
7,00-2021,CT,4412
8,00-2021,DC,526
9,00-2021,DE,1495
10,00-2021,FL,20124
11,00-2021,FSM,0
12,00-2021,GA,18670
13,00-2021,GU,0
14,00-2021,HI,391
15,00-2021,IA,2661
16,00-2021,ID,1122
17,00-2021,IL,11963
18,00-2021,IN,11629
19,00-2021,KS,5312
20,00-2021,KY,4605
21,00-2021,LA,0
22,00-2021,MA,9003
23,00-2021,MD,6509
24,00-2021,ME,585
25,00-2021,MI,4564
26,00-2021,MN,2530
27,00-2021,MO,3954
28,00-2021,MP,0
29,00-2021,MS,3714
30,00-2021,MT,389
31,00-2021,NC,17437
32,00-2021,ND,271
33,00-2021,NE,1410
34,00-2021,NH,1156
35,00-2021,NJ,11762
36,00-2021,NM,2515
37,00-2021,NV,4140
38,00-2021,NY,21050
39,00-2021,NYC,10199
40,00-2021,OH,14293
41,00-2021,OK,5858
42,00-2021,OR,2439
43,00-2021,PA,16389
44,00-2021,PR,869
45,00-2021,PW,0
46,00-2021,RI,1725
47,00-2021,RMI,0
48,00-2021,SC,11626
49,00-2021,SD,665
50,00-2021,TN,15825
51,00-2021,TX,21074
52,00-2021,UT,5042
53,00-2021,VA,9171
54,00-2021,VI,5
55,00-2021,VT,243
56,00-2021,WA,6828
57,00-2021,WI,3214
58,00-2021,WV,3993
59,00-2021,WY,164
60,00-2022,AK,0
61,00-2022,AL,4986
62,00-2022,AR,4155
63,00-2022,AS,0
64,00-2022,AZ,8220
65,00-2022,CA,0
66,00-2022,CO,14298
67,00-2022,CT,0
68,00-2022,DC,0
69,00-2022,DE,3556
70,00-2022,FL,45482
71,00-2022,FSM,0
72,00-2022,GA,0
73,00-2022,GU,0
74,00-2022,HI,2707
75,00-2022,IA,0
76,00-2022,ID,0
77,00-2022,IL,0
78,00-2022,IN,0
79,00-2022,KS,0
80,00-2022,KY,5402
81,00-2022,LA,0
82,00-2022,MA,0
83,00-2022,MD,14916
84,00-2022,ME,934
85,00-2022,MI,0
86,00-2022,MN,0
87,00-2022,MO,0
88,00-2022,MP,32
89,00-2022,MS,0
90,00-2022,MT,0
91,00-2022,NC,21163
92,00-2022,ND,0
93,00-2022,NE,0
94,00-2022,NH,0
95,00-2022,NJ,32391
96,00-2022,NM,0
97,00-2022,NV,0
98,00-2022,NY,35752
99,00-2022,NYC,0
100,00-2022,OH,0
101,00-2022,OK,0
102,00-2022,OR,0
103,00-2022,PA,23189
104,00-2022,PR,0
105,00-2022,PW,0
106,00-2022,RI,2406
107,00-2022,RMI,0
108,00-2022,SC,11280
109,00-2022,SD,0
110,00-2022,TN,11275
111,00-2022,TX,52205
112,00-2022,UT,0
113,00-2022,VA,0
114,00-2022,VI,458
115,00-2022,VT,506
116,00-2022,WA,8134
117,00-2022,WI,0
118,00-2022,WV,0
119,00-2022,WY,0
120,01-2021,AK,2041
121,01-2021,AL,30352
122,01-2021,AR,20304
123,01-2021,AS,0
124,01-2021,AZ,68216
125,01-2021,CA,275368
126,01-2021,CO,17512
127,01-2021,CT,15874
128,01-2021,DC,1948
129,01-2021,DE,5690
130,01-2021,FL,109919
131,01-2021,FSM,0
132,01-2021,GA,63730
133,01-2021,GU,91
134,01-2021,HI,1183
135,01-2021,IA,12023
136,01-2021,ID,7036
137,01-2021,IL,48687
138,01-2021,IN,35554
139,01-2021,KS,14577
140,01-2021,KY,26428
141,01-2021,LA,26156
142,01-2021,MA,42954
143,01-2021,MD,20193
144,01-2021,ME,4024
145,01-2021,MI,19988
146,01-2021,MN,16581
147,01-2021,MO,27494
148,01-2021,MP,3
149,01-2021,MS,16290
150,01-2021,MT,4158
151,01-2021,NC,59043
152,01-2021,ND,1675
153,01-2021,NE,7733
154,01-2021,NH,5687
155,01-2021,NJ,39636
156,01-2021,NM,9575
157,01-2021,NV,17438
158,01-2021,NY,69035
159,01-2021,NYC,40817
160,01-2021,OH,56304
161,01-2021,OK,25979
162,01-2021,OR,8128
163,01-2021,PA,56620
164,01-2021,PR,4062
165,01-2021,PW,0
166,01-2021,RI,7233
167,01-2021,RMI,0
168,01-2021,SC,37947
169,01-2021,SD,3072
170,01-2021,TN,43835
171,01-2021,TX,161305
172,01-2021,UT,22069
173,01-2021,VA,34960
174,01-2021,VI,102
175,01-2021,VT,994
176,01-2021,WA,17677
177,01-2021,WI,24482
178,01-2021,WV,10451
179,01-2021,WY,2146
180,01-2022,AK,7853
181,01-2022,AL,69284
182,01-2022,AR,42373
183,01-2022,AS,0
184,01-2022,AZ,71925
185,01-2022,CA,470281
186,01-2022,CO,104101
187,01-2022,CT,63523
188,01-2022,DC,15754
189,01-2022,DE,20829
190,01-2022,FL,438405
191,01-2022,FSM,0
192,01-2022,GA,138909
193,01-2022,GU,1191
194,01-2022,HI,22470
195,01-2022,IA,25652
196,01-2022,ID,8069
197,01-2022,IL,201428
198,01-2022,IN,82569
199,01-2022,KS,46518
200,01-2022,KY,61100
201,01-2022,LA,79733
202,01-2022,MA,139314
203,01-2022,MD,92989
204,01-2022,ME,13321
205,01-2022,MI,145387
206,01-2022,MN,41853
207,01-2022,MO,89715
208,01-2022,MP,311
209,01-2022,MS,42810
210,01-2022,MT,5139
211,01-2022,NC,159727
212,01-2022,ND,6950
213,01-2022,NE,17382
214,01-2022,NH,15905
215,01-2022,NJ,218519
216,01-2022,NM,19070
217,01-2022,NV,27711
218,01-2022,NY,225333
219,01-2022,NYC,267780
220,01-2022,OH,154044
221,01-2022,OK,38212
222,01-2022,OR,38437
223,01-2022,PA,180936
224,01-2022,PR,74434
225,01-2022,PW,9
226,01-2022,RI,31390
227,01-2022,RMI,3
228,01-2022,SC,82098
229,01-2022,SD,10207
230,01-2022,TN,89634
231,01-2022,TX,371815
232,01-2022,UT,45044
233,01-2022,VA,102518
234,01-2022,VI,2435
235,01-2022,VT,9378
236,01-2022,WA,77968
237,01-2022,WI,65397
238,01-2022,WV,27710
239,01-2022,WY,4219
240,02-2021,AK,1693
241,02-2021,AL,22025
242,02-2021,AR,18432
243,02-2021,AS,0
244,02-2021,AZ,59577
245,02-2021,CA,278969
246,02-2021,CO,14533
247,02-2021,CT,17428
248,02-2021,DC,2080
249,02-2021,DE,5042
250,02-2021,FL,92479
251,02-2021,FSM,0
252,02-2021,GA,60811
253,02-2021,GU,75
254,02-2021,HI,1004
255,02-2021,IA,8917
256,02-2021,ID,6041
257,02-2021,IL,40628
258,02-2021,IN,28573
259,02-2021,KS,13812
260,02-2021,KY,23885
261,02-2021,LA,23422
262,02-2021,MA,38591
263,02-2021,MD,20667
264,02-2021,ME,3485
265,02-2021,MI,15059
266,02-2021,MN,10634
267,02-2021,MO,18360
268,02-2021,MP,3
269,02-2021,MS,13381
270,02-2021,MT,2954
271,02-2021,NC,51401
272,02-2021,ND,1148
273,02-2021,NE,5548
274,02-2021,NH,5074
275,02-2021,NJ,42907
276,02-2021,NM,7939
277,02-2021,NV,13781
278,02-2021,NY,66631
279,02-2021,NYC,41621
280,02-2021,OH,50530
281,02-2021,OK,19432
282,02-2021,OR,7936
283,02-2021,PA,48322
284,02-2021,PR,4451
285,02-2021,PW,0
286,02-2021,RI,6006
287,02-2021,RMI,0
288,02-2021,SC,35959
289,02-2021,SD,2377
290,02-2021,TN,34074
291,02-2021,TX,159009
292,02-2021,UT,18529
293,02-2021,VA,35676
294,02-2021,VI,109
295,02-2021,VT,1024
296,02-2021,WA,16926
297,02-2021,WI,18141
298,02-2021,WV,8346
299,02-2021,WY,2349
300,02-2022,AK,12893
301,02-2022,AL,78079
302,02-2022,AR,62776
303,02-2022,AS,0
304,02-2022,AZ,126522
305,02-2022,CA,841593
306,02-2022,CO,117350
307,02-2022,CT,63861
308,02-2022,DC,11831
309,02-2022,DE,21179
310,02-2022,FL,377396
311,02-2022,FSM,0
312,02-2022,GA,134531
313,02-2022,GU,2509
314,02-2022,HI,27013
315,02-2022,IA,37410
316,02-2022,ID,13406
317,02-2022,IL,207203
318,02-2022,IN,96454
319,02-2022,KS,55211
320,02-2022,KY,83878
321,02-2022,LA,88195
322,02-2022,MA,146355
323,02-2022,MD,82128
324,02-2022,ME,17158
325,02-2022,MI,128398
326,02-2022,MN,74181
327,02-2022,MO,84850
328,02-2022,MP,307
329,02-2022,MS,48081
330,02-2022,MT,9215
331,02-2022,NC,214428
332,02-2022,ND,12902
333,02-2022,NE,23594
334,02-2022,NH,21326
335,02-2022,NJ,163894
336,02-2022,NM,29826
337,02-2022,NV,43877
338,02-2022,NY,189261
339,02-2022,NYC,228098
340,02-2022,OH,187851
341,02-2022,OK,64239
342,02-2022,OR,53691
343,02-2022,PA,184907
344,02-2022,PR,60383
345,02-2022,PW,22
346,02-2022,RI,34323
347,02-2022,RMI,0
348,02-2022,SC,111374
349,02-2022,SD,13726
350,02-2022,TN,109591
351,02-2022,TX,424635
352,02-2022,UT,68298
353,02-2022,VA,130381
354,02-2022,VI,1219
355,02-2022,VT,6703
356,02-2022,WA,112262
357,02-2022,WI,111546
358,02-2022,WV,27086
359,02-2022,WY,6611
360,03-2021,AK,1399
361,03-2021,AL,18636
362,03-2021,AR,12817
363,03-2021,AS,0
364,03-2021,AZ,48477
365,03-2021,CA,184794
366,03-2021,CO,11516
367,03-2021,CT,14393
368,03-2021,DC,1540
369,03-2021,DE,4567
370,03-2021,FL,76655
371,03-2021,FSM,0
372,03-2021,GA,52495
373,03-2021,GU,73
374,03-2021,HI,762
375,03-2021,IA,7814
376,03-2021,ID,4049
377,03-2021,IL,33860
378,03-2021,IN,21554
379,03-2021,KS,10519
380,03-2021,KY,20846
381,03-2021,LA,15402
382,03-2021,MA,30367
383,03-2021,MD,15276
384,03-2021,ME,2984
385,03-2021,MI,12891
386,03-2021,MN,8761
387,03-2021,MO,14396
388,03-2021,MP,1
389,03-2021,MS,11594
390,03-2021,MT,2354
391,03-2021,NC,42905
392,03-2021,ND,953
393,03-2021,NE,5585
394,03-2021,NH,5631
395,03-2021,NJ,35447
396,03-2021,NM,5686
